# A tibble: 30 × 17
# Groups:   time [10]
    time dose  meanDV  sdDV geomeanDV geosdDV     n  seDV CI_low CI_up group mean_delta_DV geomean_delta_DV delta_SD delta_SE
   <dbl> <fct>  <dbl> <dbl>     <dbl>   <dbl> <int> <dbl>  <dbl> <dbl> <chr>         <dbl>            <dbl>    <dbl>    <dbl>
 1   0.5 0       3.37  5.32     NA      NA       20 1.19   0.875  5.86 0             0                   NA     7.53     1.68
 2   0.5 250     4.34  5.78     NA      NA       40 0.914  2.49   6.19 250           0.975               NA     7.86     1.50
 3   0.5 500     8.33  7.19     NA      NA       40 1.14   6.03  10.6  500           4.96                NA     8.95     1.65
 4   1   0       4.39  7.13     NA      NA       20 1.59   1.05   7.72 0             0                   NA    10.1      2.25
 5   1   250     5.42  6.74     NA      NA       40 1.07   3.27   7.58 250           1.04                NA     9.81     1.92
 6   1   500     9.25  8.08     NA      NA       40 1.28   6.66  11.8  500           4.86                NA    10.8      2.04
 7   1.5 0       1.66  6.46     NA      NA       20 1.44  -1.37   4.68 0             0                   NA     9.13     2.04
 8   1.5 250     8.51  4.20      7.10    2.03    40 0.665  7.17   9.86 250           6.86                NA     7.71     1.59
 9   1.5 500    10.0   6.90     NA      NA       40 1.09   7.84  12.3  500           8.39                NA     9.45     1.81
10   2   0       8.78  6.65     NA      NA       20 1.49   5.66  11.9  0             0                   NA     9.40     2.10
# ℹ 20 more rows
# ℹ 2 more variables: CI_low_delta <dbl>, CI_up_delta <dbl>
# ℹ Use `print(n = ...)` to see more rows
