# A tibble: 1,000 × 10
        dv   conc  time   PRED IPRED     RES   IRES    WRES  IWRES TRTG 
     <dbl>  <dbl> <dbl>  <dbl> <dbl>   <dbl>  <dbl>   <dbl>  <dbl> <chr>
 1   3.90  13611.   0.5  3.78   2.89   0.124   1.01  0.0215  0.175 ""   
 2 -10.8   16930.   1    4.42   3.53 -15.2   -14.3  -2.64   -2.48  ""   
 3   8.61  17686.   1.5  5.29   4.40   3.32    4.21  0.574   0.728 ""   
 4   1.32  17806.   2    7.00   6.11  -5.68   -4.79 -0.982  -0.829 ""   
 5   4.24  17688.   3    6.74   5.85  -2.51   -1.62 -0.434  -0.280 ""   
 6   1.82  17511.   4    4.99   4.10  -3.17   -2.28 -0.549  -0.395 ""   
 7  -7.55  17155.   6   -0.454 -1.34  -7.10   -6.21 -1.23   -1.07  ""   
 8  -1.61  16805.   8   -4.15  -5.04   2.54    3.43  0.439   0.593 ""   
 9  -0.367 16127.  12    2.82   1.93  -3.18   -2.29 -0.551  -0.397 ""   
10  12.8   14253.  24    2.75   1.86  10.0    10.9   1.74    1.89  ""   
# ℹ 990 more rows
# ℹ Use `print(n = ...)` to see more rows
