# A tibble: 20 × 8
   Parameters        Value Std.Error    DF `t-value` `p-value`       CIl     CIu
   <chr>             <dbl>     <dbl> <dbl>     <dbl>     <dbl>     <dbl>   <dbl>
 1 Intercept      -8.72      2.35      604    -3.71   2.25e- 4 -13.3     -4.11  
 2 CONC            0.00780   0.00835   604     0.935  3.50e- 1  -0.00859  0.0242
 3 deltaQTCFBL    -0.643     0.0401    604   -16.1    1.47e-48  -0.722   -0.565 
 4 Verapamil HCL   2.82      0.645     604     4.37   1.43e- 5   1.56     4.09  
 5 1 HR            4.03      1.33      604     3.03   2.58e- 3   1.42     6.65  
 6 1.5 HR          2.23      1.33      604     1.68   9.42e- 2  -0.382    4.83  
 7 2 HR            6.58      1.33      604     4.96   9.35e- 7   3.97     9.19  
 8 2.5 HR          5.49      1.33      604     4.12   4.24e- 5   2.88     8.11  
 9 3 HR            2.95      1.34      604     2.21   2.77e- 2   0.324    5.57  
10 3.5 HR         -0.505     1.34      604    -0.376  7.07e- 1  -3.14     2.13  
11 4 HR            1.49      1.35      604     1.10   2.73e- 1  -1.17     4.14  
12 5 HR           -0.498     1.36      604    -0.367  7.14e- 1  -3.16     2.16  
13 6 HR            1.07      1.36      604     0.787  4.32e- 1  -1.60     3.75  
14 7 HR           -0.274     1.37      604    -0.200  8.41e- 1  -2.96     2.41  
15 8 HR           -0.864     1.37      604    -0.630  5.29e- 1  -3.56     1.83  
16 12 HR          -4.18      1.38      604    -3.04   2.51e- 3  -6.89    -1.48  
17 14 HR          -2.99      1.38      604    -2.17   3.06e- 2  -5.69    -0.280 
18 24 HR           1.59      1.39      604     1.14   2.55e- 1  -1.15     4.32  
19 IIV(Intercept) 10.0      NA          NA    NA     NA          7.17    14.0   
20 Residual Error  6.16     NA          NA    NA     NA          5.82     6.52   
